Order ID,Product Name,Category,Price,Quantity,Total Amount,Timestamp,Payment Method,Customer ID,Region
1,Smartwatch,Accessories,499,1,499,2025-03-12 02:52:07,PayPal,C3549,North
2,Kettle,Apparel,301,5,1505,2025-03-21 07:35:07,Credit Card,C6560,West
3,T-shirt,Footwear,391,5,1955,2025-03-09 00:17:07,PayPal,C5616,West
4,Curtains,Sports,343,2,686,2025-03-20 11:08:07,Bank Transfer,C9667,South
5,Jacket,Electronics,88,3,264,2025-03-24 17:27:07,Bank Transfer,C4503,West
6,Blender,Sports,68,2,136,2025-03-09 01:26:07,Credit Card,C4556,South
7,Desk Lamp,Accessories,342,1,342,2025-03-22 13:31:07,Debit Card,C9646,North
8,Blender,Accessories,87,2,174,2025-03-03 21:31:07,Bank Transfer,C8657,West
9,Wireless Charger,Footwear,205,2,410,2025-03-11 15:11:07,PayPal,C7144,South
10,Pillow,Sports,356,3,1068,2025-03-07 11:46:07,Bank Transfer,C6691,North
11,Smartphone,Apparel,124,5,620,2025-03-13 04:43:07,Credit Card,C8055,West
12,Yoga Mat,Kitchen,339,3,1017,2025-03-19 18:39:07,Bank Transfer,C8200,North
13,Bluetooth Speaker,Apparel,142,2,284,2025-03-04 17:50:07,PayPal,C2550,North
14,Refrigerator,Electronics,304,3,912,2025-03-13 21:40:07,Bank Transfer,C8970,North
15,Gaming Keyboard,Accessories,183,3,549,2025-03-07 01:36:07,Credit Card,C9688,West
16,Wireless Charger,Accessories,391,1,391,2025-03-26 00:43:07,Credit Card,C1986,North
17,Monitor,Accessories,21,4,84,2025-03-09 00:31:07,Bank Transfer,C3596,South
18,Speakers,Footwear,372,3,1116,2025-03-18 01:19:07,PayPal,C5737,West
19,Fridge,Kitchen,39,1,39,2025-03-04 00:20:07,Debit Card,C5080,East
20,Refrigerator,Apparel,418,1,418,2025-03-12 04:03:07,Bank Transfer,C2176,West
21,Cooking Pan,Kitchen,243,4,972,2025-03-03 05:58:07,PayPal,C8118,East
22,Tablet,Accessories,170,1,170,2025-03-15 12:28:07,PayPal,C8680,West
23,Water Bottle,Apparel,211,5,1055,2025-02-26 22:14:07,Credit Card,C1426,South
24,Pillow,Kitchen,379,1,379,2025-03-24 21:02:07,PayPal,C9351,West
25,Microwave,Electronics,395,1,395,2025-03-24 10:03:07,Bank Transfer,C4936,North
26,Sunglasses,Apparel,41,2,82,2025-03-16 07:19:07,Debit Card,C8366,East
27,Smart Thermostat,Accessories,278,4,1112,2025-03-18 00:46:07,Debit Card,C4594,North
28,Curtains,Footwear,249,4,996,2025-03-21 04:03:07,Credit Card,C7014,West
29,Yoga Mat,Apparel,20,1,20,2025-03-07 21:33:07,PayPal,C3164,East
30,Pillow,Accessories,98,1,98,2025-03-01 06:21:07,PayPal,C1012,South
31,Curtains,Electronics,314,3,942,2025-03-10 09:30:07,Debit Card,C5551,South
32,Iron,Footwear,401,1,401,2025-03-12 07:48:07,PayPal,C6145,East
33,Coffee Table,Electronics,40,5,200,2025-03-14 03:24:07,Debit Card,C1029,East
34,Boots,Footwear,317,2,634,2025-02-28 02:50:07,PayPal,C7295,South
35,Wireless Charger,Apparel,443,5,2215,2025-03-06 21:16:07,Debit Card,C9989,West
36,Smartwatch,Accessories,316,5,1580,2025-03-09 01:37:07,Debit Card,C3949,North
37,Sandals,Electronics,486,3,1458,2025-03-23 08:09:07,Debit Card,C8810,East
38,Laptop,Electronics,430,2,860,2025-03-11 06:46:07,PayPal,C9272,North
39,Sofa,Sports,39,1,39,2025-03-16 18:49:07,Bank Transfer,C8684,East
40,Hair Dryer,Apparel,125,1,125,2025-03-12 18:51:07,Bank Transfer,C5811,South
41,Juicer,Apparel,35,2,70,2025-03-03 21:59:07,Bank Transfer,C9392,North
42,Juicer,Accessories,251,4,1004,2025-03-16 01:52:07,PayPal,C6524,South
43,Blender,Kitchen,52,2,104,2025-03-12 13:46:07,Bank Transfer,C8261,South
44,Tablet,Accessories,398,4,1592,2025-03-20 22:17:07,Credit Card,C6895,South
45,Tablet,Accessories,360,1,360,2025-03-23 16:25:07,Bank Transfer,C7604,West
46,Armchair,Apparel,297,1,297,2025-03-23 17:26:07,Credit Card,C2404,South
47,Fridge,Electronics,37,2,74,2025-02-26 03:07:07,Bank Transfer,C5680,East
48,Iron,Footwear,426,3,1278,2025-03-18 18:24:07,Credit Card,C3256,East
49,Sunglasses,Apparel,214,5,1070,2025-03-15 05:34:07,Bank Transfer,C6909,East
50,Laptop,Apparel,399,2,798,2025-03-26 14:53:07,PayPal,C8551,West
51,Smart Thermostat,Electronics,479,4,1916,2025-03-01 19:56:07,PayPal,C5901,West
52,Headphones,Sports,223,2,446,2025-02-28 03:05:07,Debit Card,C2160,East
53,Monitor,Accessories,272,3,816,2025-03-20 03:09:07,PayPal,C2834,North
54,Pillow,Sports,433,1,433,2025-03-08 15:55:07,PayPal,C1167,East
55,Sneakers,Kitchen,146,5,730,2025-03-02 17:51:07,Credit Card,C8374,West
56,Air Purifier,Sports,141,5,705,2025-03-23 04:41:07,Debit Card,C9357,East
57,Charger,Footwear,204,5,1020,2025-03-11 20:35:07,Debit Card,C5861,West
58,Iron,Electronics,487,4,1948,2025-02-28 10:15:07,Debit Card,C9318,West
59,Wireless Charger,Apparel,496,3,1488,2025-03-09 23:41:07,Bank Transfer,C1953,South
60,Camera,Kitchen,475,4,1900,2025-03-08 14:52:07,Credit Card,C4137,East
61,Iron,Electronics,414,4,1656,2025-03-24 03:29:07,PayPal,C2582,South
62,Armchair,Kitchen,26,3,78,2025-03-17 00:46:07,Debit Card,C7829,West
63,Sandals,Sports,80,2,160,2025-03-10 12:31:07,Debit Card,C5735,South
64,Fridge,Kitchen,478,5,2390,2025-03-15 06:03:07,Credit Card,C2607,East
65,Juicer,Sports,297,3,891,2025-02-27 01:09:07,Credit Card,C2870,South
66,Sandals,Apparel,289,2,578,2025-03-26 04:34:07,Debit Card,C7371,South
67,Laptop Stand,Footwear,43,3,129,2025-03-18 03:08:07,PayPal,C7084,East
68,Gaming Keyboard,Footwear,215,3,645,2025-03-14 21:03:07,Credit Card,C8296,South
69,Hat,Kitchen,366,1,366,2025-03-09 08:08:07,Debit Card,C6763,South
70,Camera,Apparel,401,5,2005,2025-03-24 01:25:07,PayPal,C7432,North
71,Refrigerator,Apparel,262,3,786,2025-03-16 02:40:07,Bank Transfer,C1786,West
72,Sunglasses,Apparel,122,4,488,2025-03-18 08:09:07,Bank Transfer,C9981,West
73,Smartwatch,Kitchen,70,1,70,2025-02-26 01:29:07,Bank Transfer,C8957,South
74,Smart Scale,Electronics,287,2,574,2025-03-22 21:58:07,Credit Card,C3505,North
75,Wireless Mouse,Accessories,112,2,224,2025-02-27 08:30:07,Bank Transfer,C6223,West
76,Smartphone,Kitchen,271,2,542,2025-03-11 13:07:07,Bank Transfer,C6858,South
77,Kettle,Footwear,307,3,921,2025-03-01 06:10:07,Debit Card,C8302,North
78,Sandals,Footwear,195,3,585,2025-03-01 01:46:07,Credit Card,C2086,West
79,Bluetooth Earbuds,Apparel,131,3,393,2025-03-01 02:45:07,Credit Card,C2356,West
80,Jacket,Electronics,113,4,452,2025-03-27 06:37:07,Bank Transfer,C4414,North
81,Jacket,Footwear,90,1,90,2025-03-18 21:40:07,Bank Transfer,C3926,North
82,Desk Lamp,Footwear,224,1,224,2025-03-20 13:59:07,Credit Card,C3745,South
83,Sunglasses,Accessories,392,4,1568,2025-03-26 13:23:07,Credit Card,C7346,North
84,Winter Coat,Apparel,416,4,1664,2025-03-07 05:40:07,Debit Card,C1904,North
85,Hair Dryer,Electronics,250,1,250,2025-03-10 23:27:07,Debit Card,C7762,West
86,Smartphone,Kitchen,100,3,300,2025-03-04 12:16:07,Bank Transfer,C3340,West
87,Sunglasses,Footwear,192,2,384,2025-03-16 00:27:07,Bank Transfer,C8652,East
88,Tablet,Apparel,393,2,786,2025-03-22 22:39:07,Debit Card,C1708,West
89,Microwave,Sports,400,1,400,2025-03-14 14:12:07,Credit Card,C6112,South
90,Boots,Electronics,493,3,1479,2025-03-02 11:15:07,PayPal,C4311,North
91,T-shirt,Kitchen,75,4,300,2025-03-20 16:07:07,Debit Card,C1335,West
92,Fridge,Footwear,326,3,978,2025-03-07 01:51:07,Bank Transfer,C9692,North
93,Coffee Table,Kitchen,330,5,1650,2025-02-26 22:44:07,PayPal,C4328,East
94,Sneakers,Electronics,234,1,234,2025-03-17 13:25:07,Credit Card,C9615,West
95,Winter Coat,Sports,499,3,1497,2025-03-11 21:43:07,Debit Card,C3739,North
96,Gloves,Kitchen,391,5,1955,2025-03-13 11:33:07,Bank Transfer,C4792,West
97,Hat,Accessories,101,4,404,2025-03-02 08:54:07,PayPal,C6949,West
98,Laptop Stand,Kitchen,426,4,1704,2025-03-14 21:47:07,Debit Card,C7455,North
99,Gaming Keyboard,Footwear,86,4,344,2025-02-28 06:47:07,Credit Card,C1750,West
100,Laptop Stand,Footwear,62,3,186,2025-03-09 04:50:07,Debit Card,C6215,East
101,Yoga Mat,Footwear,148,2,296,2025-03-21 11:36:07,PayPal,C6773,West
102,Coffee Maker,Sports,366,5,1830,2025-03-06 16:49:07,Credit Card,C5096,West
103,Laptop,Electronics,396,2,792,2025-03-14 04:31:07,PayPal,C7640,North
104,Tablet,Accessories,286,5,1430,2025-02-28 14:08:07,Debit Card,C2890,East
105,Desk Lamp,Accessories,151,2,302,2025-02-26 10:51:07,Debit Card,C6895,West
106,Gloves,Kitchen,38,4,152,2025-02-26 04:03:07,Credit Card,C6537,East
107,Armchair,Footwear,283,5,1415,2025-03-02 23:17:07,Credit Card,C3711,East
108,Sofa,Apparel,299,3,897,2025-03-16 09:25:07,Credit Card,C5120,North
109,Fridge,Apparel,189,5,945,2025-03-04 01:02:07,PayPal,C8123,East
110,Sandals,Apparel,491,4,1964,2025-03-23 00:13:07,Credit Card,C5142,East
111,Iron,Accessories,188,4,752,2025-03-03 02:44:07,Debit Card,C6051,West
112,Running Shoes,Apparel,194,1,194,2025-03-04 06:13:07,Bank Transfer,C2202,West
113,Sandals,Accessories,365,2,730,2025-03-12 18:48:07,Bank Transfer,C4284,South
114,Gloves,Kitchen,321,5,1605,2025-03-21 10:37:07,PayPal,C8596,East
115,Kettle,Accessories,241,4,964,2025-03-17 17:21:07,PayPal,C1088,West
116,Iron,Apparel,66,2,132,2025-03-22 21:03:07,Credit Card,C6237,North
117,Kettle,Apparel,312,5,1560,2025-03-11 13:19:07,Credit Card,C3425,South
118,Boots,Sports,497,4,1988,2025-03-27 07:51:07,Bank Transfer,C9165,South
119,Cooking Pan,Electronics,92,3,276,2025-03-12 12:02:07,Credit Card,C6671,East
120,Laptop,Footwear,244,2,488,2025-03-18 11:31:07,Debit Card,C3288,West
121,Desk Lamp,Kitchen,492,4,1968,2025-03-21 06:01:07,Debit Card,C2372,North
122,Water Bottle,Sports,91,4,364,2025-03-16 21:57:07,Bank Transfer,C1426,South
123,Wireless Charger,Accessories,258,1,258,2025-03-11 07:02:07,Debit Card,C5744,East
